tract_geoid,STATEFP,COUNTYFP,centroid_lat,centroid_lon,storm_id,storm_name,storm_time,distance_nm,distance_km,nearest_quadrant,radius_64_nm,within_64kt,storm_tract_id,max_wind_experienced_kt,center_wind_at_approach_kt,distance_to_envelope_edge_nm,nearest_track_point_lat,nearest_track_point_lon,radius_max_wind_at_approach_nm,inside_eyewall,wind_source,first_entry_time,last_exit_time,duration_in_envelope_hours,exposure_window_hours,continuous_exposure,interpolated_points_count,duration_source,lead_time_cat1_hours,lead_time_cat2_hours,lead_time_cat3_hours,lead_time_cat4_hours,lead_time_cat5_hours,max_intensification_rate_kt_per_24h,time_of_max_intensification,cat4_first_time
22023970201,22,023,29.8898351088489,-93.58413647940814,AL182005,RITA,2005-09-24 07:40:00,11.311699490566703,20.949266207004943,NE,,,AL182005_22023970201,100.0,100.0,63.72059401202439,29.80552267884238,-93.7527613394212,20.0,True,rmw_plateau,2005-09-24 02:45:00,2005-09-24 11:10:00,8.5,8.25,True,792,timeline,91.66666666666667,85.66666666666667,73.66666666666667,67.66666666666667,61.666666666666664,60.0,2005-09-21 18:00:00,2005-09-21 12:00:00
22023970100,22,023,29.862151504161012,-92.92536306124319,AL182005,RITA,2005-09-24 07:40:00,47.16971602612036,87.3583088698652,NE,,,AL182005_22023970100,85.90460545444958,100.0,33.642406446211126,29.613545272117847,-93.67118175737262,20.0,False,rmw_decay_to_envelope,2005-09-24 02:15:00,2005-09-24 09:40:00,7.5,7.25,True,792,timeline,91.66666666666667,85.66666666666667,73.66666666666667,67.66666666666667,61.666666666666664,60.0,2005-09-21 18:00:00,2005-09-21 12:00:00
22003950500,22,003,30.51757320643857,-92.82692392419655,AL182005,RITA,2005-09-24 12:00:00,68.79197011475593,127.40272105355858,NE,30.0,False,AL182005_22003950500,67.8718906329479,86.65850362515786,8.542459256803745,30.004828134829484,-93.85241406741474,20.0,False,rmw_decay_to_envelope,2005-09-24 08:10:00,2005-09-24 08:40:00,0.75,0.5,True,792,timeline,96.0,90.0,78.0,72.0,66.0,60.0,2005-09-21 18:00:00,2005-09-21 12:00:00
22113990000,22,113,29.532723571681753,-92.32223161716568,AL182005,RITA,2005-09-24 00:00:00,66.11093095659015,122.43743682879128,NE,75.0,True,AL182005_22113990000,74.74560476900646,103.3011057930194,15.393815621578241,28.871614262115855,-93.20371069658688,20.0,False,rmw_decay_to_64kt,2005-09-24 01:45:00,2005-09-24 07:30:00,6.0,5.75,True,792,timeline,84.0,78.0,66.0,60.0,54.0,60.0,2005-09-21 18:00:00,2005-09-21 12:00:00
22011960600,22,011,30.60232707013507,-93.57662189439596,AL182005,RITA,2005-09-24 12:00:00,30.833139946701536,57.10297177536921,NE,30.0,False,AL182005_22011960600,69.40439317352435,70.57467810043211,34.608385789954255,30.372510413866443,-94.03625520693322,20.0,False,rmw_decay_to_64kt,2005-09-24 07:15:00,2005-09-24 13:00:00,5.75,5.5,True,792,timeline,96.0,90.0,78.0,72.0,66.0,60.0,2005-09-21 18:00:00,2005-09-21 12:00:00
22019001901,22,019,30.194410982895405,-93.2587411469633,AL182005,RITA,2005-09-24 07:40:00,36.946873784446865,68.425606167532,NE,,,AL182005_22019001901,90.94544644328893,100.0,38.848338281112426,29.91902524510165,-93.80951262255083,20.0,False,rmw_decay_to_envelope,2005-09-24 04:45:00,2005-09-24 10:55:00,6.25,6.0,True,792,timeline,91.66666666666667,85.66666666666667,73.66666666666667,67.66666666666667,61.666666666666664,60.0,2005-09-21 18:00:00,2005-09-21 12:00:00
22019002100,22,019,30.233380963463404,-93.01347321534756,AL182005,RITA,2005-09-24 07:40:00,51.155006519075286,94.73906642259045,NE,,,AL182005_22019002100,82.53937843855071,100.0,27.362443268332107,29.852094056909753,-93.77604702845488,20.0,False,rmw_decay_to_envelope,2005-09-24 05:45:00,2005-09-24 10:10:00,4.5,4.25,True,792,timeline,91.66666666666667,85.66666666666667,73.66666666666667,67.66666666666667,61.666666666666664,60.0,2005-09-21 18:00:00,2005-09-21 12:00:00
22019002203,22,019,30.313990311385766,-93.22189673082143,AL182005,RITA,2005-09-24 07:40:00,42.13280272897405,78.02994599994292,NE,,,AL182005_22019002203,78.80663034781455,86.87191406137191,32.430606857522555,29.999950941437188,-93.84997547071859,20.0,False,rmw_decay_to_envelope,2005-09-24 05:45:00,2005-09-24 10:55:00,5.25,5.0,True,792,timeline,91.66666666666667,85.66666666666667,73.66666666666667,67.66666666666667,61.666666666666664,60.0,2005-09-21 18:00:00,2005-09-21 12:00:00
22019002400,22,019,30.449248677960064,-93.43532746908467,AL182005,RITA,2005-09-24 12:00:00,34.308270213332776,63.53891264529685,SE,30.0,False,AL182005_22019002400,71.82915635395918,78.40278887894405,35.30573446576174,30.193529930001922,-93.94676496500097,20.0,False,rmw_decay_to_50kt,2005-09-24 06:30:00,2005-09-24 11:40:00,5.25,5.0,True,792,timeline,96.0,90.0,78.0,72.0,66.0,60.0,2005-09-21 18:00:00,2005-09-21 12:00:00
22019002500,22,019,30.27304200355378,-93.2440113751803,AL182005,RITA,2005-09-24 07:40:00,39.847247976430694,73.79709885070193,NE,,,AL182005_22019002500,80.53502314049712,87.91828547641131,35.005570637674026,29.97603815291515,-93.83801907645757,20.0,False,rmw_decay_to_envelope,2005-09-24 05:30:00,2005-09-24 10:55:00,5.5,5.25,True,792,timeline,91.66666666666667,85.66666666666667,73.66666666666667,67.66666666666667,61.666666666666664,60.0,2005-09-21 18:00:00,2005-09-21 12:00:00
