tract_geoid,STATEFP,COUNTYFP,centroid_lat,centroid_lon,storm_id,storm_name,storm_time,distance_nm,distance_km,nearest_quadrant,radius_64_nm,within_64kt,storm_tract_id,max_wind_experienced_kt,center_wind_at_approach_kt,distance_to_envelope_edge_nm,nearest_track_point_lat,nearest_track_point_lon,radius_max_wind_at_approach_nm,inside_eyewall,wind_source,first_entry_time,last_exit_time,duration_in_envelope_hours,exposure_window_hours,continuous_exposure,interpolated_points_count,duration_source,lead_time_cat1_hours,lead_time_cat2_hours,lead_time_cat3_hours,lead_time_cat4_hours,lead_time_cat5_hours,max_intensification_rate_kt_per_24h,time_of_max_intensification,cat4_first_time
48355990000,48,355,27.702668435695088,-97.10938077941624,AL092017,HARVEY,2017-08-26 00:00:00,19.21479481866418,35.585797881641625,SW,20.0,True,AL092017_48355990000,89.70372155602928,115.0,7.598486725539303,27.84588706032258,-96.82294353016128,10.0,False,rmw_decay_to_64kt,2017-08-25 23:15:00,2017-08-26 04:30:00,5.5,5.25,True,1657,timeline,30.0,18.0,6.0,0.0,,40.0,2017-08-25,2017-08-26
48469000201,48,469,28.800467406206398,-96.9896735335135,AL092017,HARVEY,2017-08-28 00:00:00,5.064391324410537,9.379252173380308,NW,,,AL092017_48469000201,35.0,35.0,58.31654850269841,28.87596289464668,-96.95192578929336,10.0,True,rmw_plateau,2017-08-26 09:30:00,2017-08-26 15:00:00,5.75,5.5,True,1657,timeline,78.0,66.0,54.0,48.0,,40.0,2017-08-25,2017-08-26
48469000202,48,469,28.799130933337597,-96.97309658392302,AL092017,HARVEY,2017-08-28 00:00:00,4.691307751117257,8.688301436853097,SW,,,AL092017_48469000202,35.0,35.0,59.325862821200516,28.86906482023673,-96.93812964047346,10.0,True,rmw_plateau,2017-08-26 09:45:00,2017-08-26 14:45:00,5.25,5.0,True,1657,timeline,78.0,66.0,54.0,48.0,,40.0,2017-08-25,2017-08-26
48469000301,48,469,28.77301384880664,-96.99833975076,AL092017,HARVEY,2017-08-28 00:00:00,6.77024282854312,12.538488970600328,SW,,,AL092017_48469000301,35.0,35.0,56.97554517466171,28.87393867006533,-96.94787734013066,10.0,True,rmw_plateau,2017-08-26 09:00:00,2017-08-26 15:15:00,6.5,6.25,True,1657,timeline,78.0,66.0,54.0,48.0,,40.0,2017-08-25,2017-08-26
48469000302,48,469,28.780615318962834,-96.97896007265217,AL092017,HARVEY,2017-08-28 00:00:00,5.842293801012825,10.81992747411828,SW,,,AL092017_48469000302,35.0,35.0,58.28994100293811,28.867707092853436,-96.93541418570688,10.0,True,rmw_plateau,2017-08-26 09:15:00,2017-08-26 14:45:00,5.75,5.5,True,1657,timeline,78.0,66.0,54.0,48.0,,40.0,2017-08-25,2017-08-26
48469000400,48,469,28.81706109169495,-97.0140304914928,AL092017,HARVEY,2017-08-28 00:00:00,4.8274464796209005,8.940430347003547,NW,,,AL092017_48469000400,35.0,35.0,56.172998950270156,28.889024414936113,-96.97804882987222,10.0,True,rmw_plateau,2017-08-26 09:45:00,2017-08-26 15:30:00,6.0,5.75,True,1657,timeline,78.0,66.0,54.0,48.0,,40.0,2017-08-25,2017-08-26
48469000501,48,469,28.8317663519248,-96.9996195922185,AL092017,HARVEY,2017-08-28 00:00:00,3.65159439887137,6.762752423343599,NW,,,AL092017_48469000501,35.0,35.0,57.83533700611962,28.886201107272356,-96.97240221454472,10.0,True,rmw_plateau,2017-08-26 10:15:00,2017-08-26 15:15:00,5.25,5.0,True,1657,timeline,78.0,66.0,54.0,48.0,,40.0,2017-08-25,2017-08-26
48469000601,48,469,28.81325048243129,-96.99771031092112,AL092017,HARVEY,2017-08-28 00:00:00,4.594028834042268,8.50814089317594,NW,,,AL092017_48469000601,35.0,35.0,57.72669394547401,28.881734220854707,-96.96346844170941,10.0,True,rmw_plateau,2017-08-26 09:45:00,2017-08-26 15:15:00,5.75,5.5,True,1657,timeline,78.0,66.0,54.0,48.0,,40.0,2017-08-25,2017-08-26
48469000602,48,469,28.81534094212972,-96.98161489269555,AL092017,HARVEY,2017-08-28 00:00:00,4.049957602940287,7.500521033274827,NW,,,AL092017_48469000602,35.0,35.0,59.35304909179062,28.875714145504162,-96.95142829100833,10.0,True,rmw_plateau,2017-08-26 10:00:00,2017-08-26 15:00:00,5.25,5.0,True,1657,timeline,78.0,66.0,54.0,48.0,,40.0,2017-08-25,2017-08-26
48469001501,48,469,28.957819138532795,-97.06019580689264,AL092017,HARVEY,2017-08-27 18:00:00,1.487677585766746,2.755178724506641,SE,,,AL092017_48469001501,35.0,35.0,5.538894831842505,28.935642150463615,-97.07128430092723,10.0,True,rmw_plateau,2017-08-26 12:00:00,2017-08-26 16:30:00,4.75,4.5,True,1657,timeline,72.0,60.0,48.0,42.0,,40.0,2017-08-25,2017-08-26
