tract_geoid,STATEFP,COUNTYFP,centroid_lat,centroid_lon,storm_id,storm_name,storm_time,distance_nm,distance_km,nearest_quadrant,radius_64_nm,within_64kt,storm_tract_id,max_wind_experienced_kt,center_wind_at_approach_kt,distance_to_envelope_edge_nm,nearest_track_point_lat,nearest_track_point_lon,radius_max_wind_at_approach_nm,inside_eyewall,wind_source,first_entry_time,last_exit_time,duration_in_envelope_hours,exposure_window_hours,continuous_exposure,interpolated_points_count,duration_source,lead_time_cat1_hours,lead_time_cat2_hours,lead_time_cat3_hours,lead_time_cat4_hours,lead_time_cat5_hours,max_intensification_rate_kt_per_24h,time_of_max_intensification,cat4_first_time
12091023100,12,091,30.407375957123588,-86.76315240516874,AL042005,DENNIS,2005-07-10 19:30:00,18.929670113188383,35.057746958596184,NE,,,AL042005_12091023100,66.6205894190491,106.09772554117151,0.7785774231598666,30.290204240681977,-87.05608169627278,5.0,False,rmw_decay_to_envelope,2005-07-10 19:00:00,2005-07-10 19:15:00,0.5,0.25,True,1297,timeline,91.5,79.5,73.5,67.5,,50.0,2005-07-08,2005-07-08
12113010502,12,113,30.681702749012175,-87.07047038561585,AL042005,DENNIS,2005-07-10 19:30:00,9.649072759246003,17.870081684257794,NE,,,AL042005_12113010502,87.2087400303585,106.1533120383605,4.453246716001187,30.604694764847892,-87.21165168991703,5.0,False,rmw_decay_to_envelope,2005-07-10 19:30:00,2005-07-10 19:30:00,0.25,0.0,True,1297,timeline,91.5,79.5,73.5,67.5,,50.0,2005-07-08,2005-07-08
12113010706,12,113,30.56869607143967,-87.11816624309641,AL042005,DENNIS,2005-07-10 19:30:00,3.889944531329974,7.2041768423280566,NW,,,AL042005_12113010706,105.9134084935432,105.9134084935432,10.591437852536487,30.53765093432206,-87.17508232781204,5.0,True,rmw_plateau,2005-07-10 19:15:00,2005-07-10 19:30:00,0.5,0.25,True,1297,timeline,91.5,79.5,73.5,67.5,,50.0,2005-07-08,2005-07-08
12113010702,12,113,30.498156308857467,-87.07338974648742,AL042005,DENNIS,2005-07-10 19:30:00,4.221802883337398,7.818778473587726,NE,,,AL042005_12113010702,105.53067222705488,105.53067222705488,12.135965295014785,30.464462653757476,-87.13516144750407,5.0,True,rmw_plateau,2005-07-10 19:00:00,2005-07-10 19:30:00,0.75,0.5,True,1297,timeline,91.5,79.5,73.5,67.5,,50.0,2005-07-08,2005-07-08
12113010704,12,113,30.602792266465816,-87.11125921592756,AL042005,DENNIS,2005-07-10 19:30:00,5.233385583924144,9.692229523331891,NW,,,AL042005_12113010704,106.00617331838218,106.00617331838218,9.04529940087819,30.5610253025069,-87.18783198318557,5.0,True,rmw_plateau,2005-07-10 19:15:00,2005-07-10 19:30:00,0.5,0.25,True,1297,timeline,91.5,79.5,73.5,67.5,,50.0,2005-07-08,2005-07-08
12113010705,12,113,30.57973718258801,-87.16036704603225,AL042005,DENNIS,2005-07-10 19:30:00,1.9842942229894496,3.67491268178531,NW,,,AL042005_12113010705,106.01684226357051,106.01684226357051,11.911803644746868,30.563900790645082,-87.18940043126095,5.0,True,rmw_plateau,2005-07-10 19:15:00,2005-07-10 19:30:00,0.5,0.25,True,1297,timeline,91.5,79.5,73.5,67.5,,50.0,2005-07-08,2005-07-08
12113010802,12,113,30.517568211161336,-86.88759518586393,AL042005,DENNIS,2005-07-10 19:30:00,14.56602206463983,26.976271254706045,NE,,,AL042005_12113010802,77.46286065720398,105.01369761544395,3.935087545842297,30.401318699474782,-87.1007192906226,5.0,False,rmw_decay_to_envelope,2005-07-10 19:15:00,2005-07-10 19:30:00,0.5,0.25,True,1297,timeline,91.5,79.5,73.5,67.5,,50.0,2005-07-08,2005-07-08
12113010600,12,113,30.62741505385133,-87.04572588869851,AL042005,DENNIS,2005-07-10 19:30:00,9.392711107258867,17.3952999330961,NE,,,AL042005_12113010600,89.81848163342539,105.97343828568235,5.448067436079784,30.55245305840836,-87.18315621367728,5.0,False,rmw_decay_to_envelope,2005-07-10 19:30:00,2005-07-10 19:30:00,0.25,0.0,True,1297,timeline,91.5,79.5,73.5,67.5,,50.0,2005-07-08,2005-07-08
12033000900,12,033,30.436744851217412,-87.1929890915804,AL042005,DENNIS,2005-07-10 19:30:00,3.8423616918461776,7.1160534288602095,NW,,,AL042005_12033000900,105.5496130686759,105.5496130686759,9.208449551185375,30.467410235933844,-87.13676921960027,5.0,True,rmw_plateau,2005-07-10 19:00:00,2005-07-10 19:30:00,0.75,0.5,True,1297,timeline,91.5,79.5,73.5,67.5,,50.0,2005-07-08,2005-07-08
12033001101,12,033,30.46623002778923,-87.16730430653082,AL042005,DENNIS,2005-07-10 19:30:00,1.6423057691748075,3.0415501030976735,NW,,,AL042005_12033001101,105.62268008447576,105.62268008447576,10.848717037870403,30.47933705473587,-87.14327475712865,5.0,True,rmw_plateau,2005-07-10 19:00:00,2005-07-10 19:30:00,0.75,0.5,True,1297,timeline,91.5,79.5,73.5,67.5,,50.0,2005-07-08,2005-07-08
