storm_name,tract_geoid,distance_km,max_wind_experienced_kt,duration_in_envelope_hours,lead_time_cat1_hours,lead_time_cat2_hours,lead_time_cat3_hours,lead_time_cat4_hours
KATRINA,22103040501,55.69689314335564,91.71934035934518,6.0,88.25,68.75,50.75,32.75
KATRINA,22105954001,96.53887022268496,73.43805662280194,2.75,88.25,68.75,50.75,32.75
KATRINA,22071004600,55.00690092194451,100.3316243323374,7.5,88.25,68.75,50.75,32.75
KATRINA,22071000616,43.75210873043623,106.4953053290522,8.0,88.25,68.75,50.75,32.75
KATRINA,22071000618,45.13032275754488,105.8454050368901,8.0,88.25,68.75,50.75,32.75
KATRINA,22071014000,53.68230926168817,101.22296699645574,7.75,88.25,68.75,50.75,32.75
KATRINA,22103040601,59.10890168517309,91.67478628949584,6.0,88.25,68.75,50.75,32.75
KATRINA,22051027502,72.01606531701985,91.95308391774228,7.25,88.25,68.75,50.75,32.75
KATRINA,22051027601,69.56043575513866,93.33832472843376,7.25,88.25,68.75,50.75,32.75
KATRINA,22051027602,65.2802536049436,95.67267705461693,7.5,88.25,68.75,50.75,32.75
KATRINA,22051027703,57.22578881146697,99.92207209829392,7.75,88.25,68.75,50.75,32.75
KATRINA,22051027803,50.75302295897097,103.11198811011003,8.0,88.25,68.75,50.75,32.75
KATRINA,22095070900,101.16300625771132,76.73310994363135,3.75,88.25,68.75,50.75,32.75
KATRINA,22095071000,96.8195125932655,78.92812895849038,4.25,88.25,68.75,50.75,32.75
KATRINA,22105954002,90.73039854900956,76.00594639562335,3.25,88.25,68.75,50.75,32.75
KATRINA,22105954502,92.28237963890496,76.76828191243314,3.25,88.25,68.75,50.75,32.75
KATRINA,22071007101,55.64297466453634,100.09847125992388,7.5,88.25,68.75,50.75,32.75
KATRINA,22071013500,51.58096206355624,102.2262776339951,7.75,88.25,68.75,50.75,32.75
KATRINA,22051027804,48.56762377957638,104.38055505467108,8.25,88.25,68.75,50.75,32.75
KATRINA,22051027805,50.57787897810183,103.36100557859378,8.0,88.25,68.75,50.75,32.75
KATRINA,22051027806,56.12009824398838,100.42298945074371,7.75,88.25,68.75,50.75,32.75
KATRINA,22071001746,39.05361325080855,105.93484249038356,7.5,88.25,68.75,50.75,32.75
KATRINA,22051027807,54.59944815954214,101.22856032566746,7.75,88.25,68.75,50.75,32.75
KATRINA,22051027809,55.09455871513266,101.30845664011228,8.0,85.5,66.0,48.0,30.0
KATRINA,22071001743,44.89433837247528,105.13509141033848,7.75,88.25,68.75,50.75,32.75
KATRINA,22071000615,45.22949993152664,105.7064187333148,8.0,88.25,68.75,50.75,32.75
KATRINA,22051027811,52.98302022069084,102.08739679723423,7.75,88.25,68.75,50.75,32.75
KATRINA,22051027812,52.55597718235673,102.51616302571992,8.0,85.5,66.0,48.0,30.0
KATRINA,22071001749,35.95709636713186,106.12983118412812,7.75,88.25,68.75,50.75,32.75
KATRINA,22071014500,55.0050722493449,100.45288410324224,7.5,88.25,68.75,50.75,32.75
KATRINA,22103041004,18.42155929680438,102.21843705523818,7.25,88.25,68.75,50.75,32.75
