storm_id,storm_name,year,tract_geoid
AL092021,IDA,2021,22071001747
AL092021,IDA,2021,22071001750
AL092021,IDA,2021,22109000900
AL092021,IDA,2021,22063040202
AL092021,IDA,2021,22063040201
AL092021,IDA,2021,22089060100
AL092021,IDA,2021,22071000800
AL092021,IDA,2021,22071003600
AL092021,IDA,2021,22071011400
AL092021,IDA,2021,22089062200
AL092021,IDA,2021,22089063100
AL092021,IDA,2021,22089062700
AL092021,IDA,2021,22089063200
AL092021,IDA,2021,22089062400
AL092021,IDA,2021,22089062301
AL092021,IDA,2021,22089062302
AL092021,IDA,2021,22089062500
AL092021,IDA,2021,22089062800
AL092021,IDA,2021,22089062900
AL092021,IDA,2021,22089062100
AL092021,IDA,2021,22071008600
AL092021,IDA,2021,22089063000
AL092021,IDA,2021,22109001000
AL092021,IDA,2021,22109000102
AL092021,IDA,2021,22109001201
AL092021,IDA,2021,22109000101
AL092021,IDA,2021,22109001700
AL092021,IDA,2021,22109001100
AL092021,IDA,2021,22109001202
AL092021,IDA,2021,22051027701
AL092021,IDA,2021,22109000201
AL092021,IDA,2021,22109000202
AL092021,IDA,2021,22109000300
AL092021,IDA,2021,22109000700
AL092021,IDA,2021,22071001748
AL092021,IDA,2021,22109000500
AL092021,IDA,2021,22109000600
AL092021,IDA,2021,22109000800
AL092021,IDA,2021,22051024201
AL092021,IDA,2021,22051028200
AL092021,IDA,2021,22051020516
AL092021,IDA,2021,22075050100
AL092021,IDA,2021,22071013600
AL092021,IDA,2021,22051990000
AL092021,IDA,2021,22057020703
AL092021,IDA,2021,22105953700
AL092021,IDA,2021,22105953800
AL092021,IDA,2021,22105954102
AL092021,IDA,2021,22105953400
AL092021,IDA,2021,22105953600
AL092021,IDA,2021,22105954101
AL092021,IDA,2021,22105954600
AL092021,IDA,2021,22105953300
AL092021,IDA,2021,22105953500
AL092021,IDA,2021,22105954800
AL092021,IDA,2021,22105953900
AL092021,IDA,2021,22105954700
AL092021,IDA,2021,22105953200
AL092021,IDA,2021,22105954300
AL092021,IDA,2021,22071001745
AL092021,IDA,2021,22071013400
AL092021,IDA,2021,22071013700
AL092021,IDA,2021,22071014200
AL092021,IDA,2021,22071013800
AL092021,IDA,2021,22071014100
AL092021,IDA,2021,22071013900
AL092021,IDA,2021,22071014400
AL092021,IDA,2021,22071014300
AL092021,IDA,2021,22057021000
AL092021,IDA,2021,22095070600
AL092021,IDA,2021,22109000401
AL092021,IDA,2021,22109000402
AL092021,IDA,2021,22071000904
AL092021,IDA,2021,22071001100
AL092021,IDA,2021,22071001302
AL092021,IDA,2021,22071001401
AL092021,IDA,2021,22071001402
AL092021,IDA,2021,22071001500
AL092021,IDA,2021,22071001600
AL092021,IDA,2021,22071001701
AL092021,IDA,2021,22071001702
AL092021,IDA,2021,22057021400
AL092021,IDA,2021,22057021200
AL092021,IDA,2021,22057021602
AL092021,IDA,2021,22057020800
AL092021,IDA,2021,22057021800
